ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery,,,,
2000,4000,3000,0.217296,,,,
2000,4000,2000,0.62672,,,,
2000,4000,2000,0.417856,,,,
11200,12000,11200,0.208864,,,,
2000,3000,2000,0.208864,,,,
2000,3000,3000,0.409296,,,,
2000,4000,3000,0.134706,,,,
2000,4000,2000,0.208864,,,,
2000,4000,2000,0.383568,,,,
2000,3000,2000,0.208864,,,,
2000,4000,3000,0.033664,,,,
4500,9000,4000,0.400992,,,,
2500,5000,2500,0.843584,,,,
2000,4000,2000,0.417792,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.6753,,,,
2000,3000,3000,0.217296,,,,
2000,3000,2000,0.780355,,,,
2000,3000,3000,0.217296,,,,
2000,4000,2000,0.216864,,,,
2500,5000,2500,0.208864,,,,
2500,5000,2500,0.208864,,,,
2000,3000,2000,0.208864,,,,
2500,5000,2500,0.208864,,,,
12000,13000,10000,0.626848,,,,
3000,6000,3000,0.293504,,,,
2000,3000,2000,0.652979,,,,
2000,3000,2000,0.555825,,,,
2000,4000,2000,0.208864,,,,
3000,6000,3000,0.217296,,,,
3500,7000,3500,0.620944,,,,
2000,4000,2000,0.668528,,,,
2500,5000,2500,0.409424,,,,
4000,8000,4000,0.365344,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.417792,,,,
2500,5000,2500,0.417856,,,,
2000,3000,2000,0.2168,,,,
2000,3000,2000,0.471202,,,,
3500,7000,3500,0.217296,,,,
2000,4000,2000,0.75775,,,,
2500,5000,2500,0.234096,,,,
