ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery,,,,
3000,6000,3000,0.251088,,,,
2000,3000,2000,0.217296,,,,
2000,4000,2000,0.427044,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.190247,,,,
12000,13000,12000,0.225728,,,,
2000,4000,2000,0.835648,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.217296,,,,
2000,3000,2000,0.497346,,,,
3000,6000,3000,0.43952,,,,
2000,4000,2000,0.208864,,,,
2000,4000,2000,0.208864,,,,
3500,7000,3500,0.177655,,,,
3000,6000,3000,0.459952,,,,
2000,3000,2000,0.208864,,,,
20800,25000,20800,0.426352,,,,
16000,19000,16000,0.291376,,,,
12800,14000,12800,0.208864,,,,
3000,6000,3000,0.117138,,,,
2000,3000,2000,0.225792,,,,
2000,3000,2000,0.835712,,,,
2000,4000,2000,0.862059,,,,
2000,3000,2000,0.208864,,,,
2500,5000,2500,0.635088,,,,
2000,3000,2000,0.417792,,,,
12000,13000,12000,0.276384,,,,
2500,5000,2500,0.635152,,,,
2000,3000,2000,0.409424,,,,
2000,3000,2000,0.52296,,,,
3000,6000,3000,0.242592,,,,
2500,5000,2500,0.651022,,,,
2000,4000,2000,0.835648,,,,
2000,3000,2000,0.208864,,,,
3000,6000,3000,0.217232,,,,
2000,3000,2000,0.217296,,,,
2000,4000,2000,0.20148,,,,
2000,4000,2000,0.206629,,,,
12800,14000,12800,0.582197,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.417856,,,,
2000,3000,2000,0.7925,,,,
2000,3000,2000,0.208864,,,,
3000,6000,3000,0.259456,,,,
2000,3000,2000,0.141755,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.217232,,,,
2000,4000,2000,0.810224,,,,
2000,3000,2000,0.43416,,,,
2000,3000,2000,0.417792,,,,
2000,4000,2000,0.48108,,,,
2000,3000,2000,0.417792,,,,
2000,3000,2000,0.225232,,,,
2000,4000,2000,0.417792,,,,
2500,5000,2500,0.586376,,,,
3500,7000,3500,0.417792,,,,
12800,14000,12800,0.468448,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.025232,,,,
2000,3000,2000,0.241312,,,,
3500,7000,3500,0.35279,,,,
2000,3000,2000,0.2168,,,,
2000,3000,2000,0.354577,,,,
2000,4000,2000,0.208864,,,,
4500,9000,4500,0.356912,,,,
3000,6000,3000,0.434656,,,,
2500,5000,2500,0.208864,,,,
2000,3000,2000,0.774026,,,,
2000,3000,2000,0.945476,,,,
3500,7000,3500,0.312827,,,,
2000,3000,2000,0.105096,,,,
2000,3000,2000,0.208864,,,,
2500,5000,2500,0.568655,,,,
2000,3000,2000,0.165825,,,,
2000,4000,2000,0.648941,,,,
2000,4000,2000,0.132914,,,,
2000,3000,2000,0.426288,,,,
2000,3000,2000,0.392496,,,,
2000,3000,2000,0.628828,,,,
2000,4000,2000,0.033664,,,,
2000,3000,2000,0.849077,,,,
2000,3000,2000,0.304302,,,,
2500,5000,2500,0.786,,,,
3000,6000,3000,0.225728,,,,
2000,3000,2000,0.926896,,,,
2000,4000,2000,0.634656,,,,
2000,3000,2000,0.208864,,,,
2500,5000,2500,0.171594,,,,
2000,4000,2000,0.577504,,,,
2000,3000,2000,0.686933,,,,
3000,6000,3000,0.408251,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.208864,,,,
15200,17000,15200,0.324976,,,,
4500,9000,4500,0.198551,,,,
2000,3000,2000,0.225728,,,,
2000,3000,2000,0.409424,,,,
2500,5000,2500,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.766548,,,,
2000,3000,2000,0.217232,,,,
2000,3000,2000,0.376144,,,,
2000,3000,2000,0.72154,,,,
12000,13000,12000,0.47688,,,,
2000,3000,2000,0.225728,,,,
2000,3000,2000,2.12155,,,,
2000,3000,2000,0.208864,,,,
3500,7000,3500,0.628811,,,,
2000,3000,2000,0.448993,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
4500,9000,4500,0.720178,,,,
2000,3000,2000,0.188407,,,,
2000,3000,2000,0.208864,,,,
2500,5000,2500,0.83281,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.033664,,,,
2000,4000,2000,0.217296,,,,
3000,6000,3000,0.633196,,,,
2500,5000,2500,0.217296,,,,
2500,5000,2500,0.434656,,,,
12000,13000,12000,0.477008,,,,
2000,4000,2000,7.8908,,,,
2000,4000,2000,1.04464,,,,
2000,3000,2000,0.771442,,,,
2000,4000,2000,0.225728,,,,
2000,3000,2000,0.208864,,,,
2500,5000,2500,0.553694,,,,
2000,3000,2000,0.225792,,,,
2000,4000,2000,0.426288,,,,
2000,3000,2000,0.32384,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.417856,,,,
2000,4000,2000,0.208864,,,,
2500,5000,2500,0.401637,,,,
2000,4000,2000,0.733094,,,,
2000,4000,2000,0.266574,,,,
3000,6000,3000,0.205551,,,,
2000,3000,2000,0.133983,,,,
2000,3000,2000,0.225856,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.217296,,,,
2500,5000,2500,0.392924,,,,
2000,3000,2000,0.947648,,,,
2000,3000,2000,0.190667,,,,
3000,6000,3000,0.60992,,,,
3000,6000,3000,0.434656,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.409424,,,,
12000,13000,12000,0.322048,,,,
2000,3000,2000,0.011767,,,,
2500,5000,2500,0.401956,,,,
2000,4000,2000,0.773755,,,,
2000,3000,2000,0.160831,,,,
2000,3000,2000,0.308879,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.524878,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.635152,,,,
2000,4000,2000,0.208864,,,,
